name,url,keywords
Continuous Security Monitoring,https://roadmaps.mit.edu/index.php/Continuous_Security_Monitoring,"['Continuous', 'Security', 'Monitoring', '-', 'MIT']"
VREducation,https://roadmaps.mit.edu/index.php/VREducation,"['VREducation', '-', 'MIT', 'Technology', 'Roadmapping']"
Online Reverse Procurement Marketplaces and Auctions,https://roadmaps.mit.edu/index.php/Online_Reverse_Procurement_Marketplaces_and_Auctions,"['Online', 'Reverse', 'Procurement', 'Marketplaces', 'and']"
Space Booms,https://roadmaps.mit.edu/index.php/Space_Booms,"['Space', 'Booms', '-', 'MIT', 'Technology']"
Ballistic Vests,https://roadmaps.mit.edu/index.php/Ballistic_Vests,"['Ballistic', 'Vests', '-', 'MIT', 'Technology']"
"Building Automation Systems for Energy Management, by Kulkarni, Ozturk, Toeldte","https://roadmaps.mit.edu/index.php/Building_Automation_Systems_for_Energy_Management,_by_Kulkarni,_Ozturk,_Toeldte","['Building', 'Automation', 'Systems', 'for', 'Energy']"
High-Speed Rail Safety,https://roadmaps.mit.edu/index.php/High-Speed_Rail_Safety,"['High-Speed', 'Rail', 'Safety', '-', 'MIT']"
Recommendation Systems,https://roadmaps.mit.edu/index.php/Recommendation_Systems,"['Recommendation', 'Systems', '-', 'MIT', 'Technology']"
Autonomous System for Ground Transport,https://roadmaps.mit.edu/index.php/Autonomous_System_for_Ground_Transport,"['Autonomous', 'System', 'for', 'Ground', 'Transport']"
Mixed Reality (Augmented & Virtual),https://roadmaps.mit.edu/index.php/Mixed_Reality_(Augmented_%26_Virtual),"['Mixed', 'Reality', '(Augmented', '&', 'Virtual)']"
Remote Operated Processing Platform,https://roadmaps.mit.edu/index.php/Remote_Operated_Processing_Platform,"['Remote', 'Operated', 'Processing', 'Platform', '-']"
Computer-Aided Detection Leveraging Machine Learning and Augmented Reality,https://roadmaps.mit.edu/index.php/Computer-Aided_Detection_Leveraging_Machine_Learning_and_Augmented_Reality,"['Computer-Aided', 'Detection', 'Leveraging', 'Machine', 'Learning']"
Retail Payment system,https://roadmaps.mit.edu/index.php/Retail_Payment_system,"['Retail', 'Payment', 'system', '-', 'MIT']"
Bioelectronic Devices for Electrical Stimulation,https://roadmaps.mit.edu/index.php/Bioelectronic_Devices_for_Electrical_Stimulation,"['Bioelectronic', 'Devices', 'for', 'Electrical', 'Stimulation']"
Large Ultra Lightweight Monolithic Mirrors for Space Missions,https://roadmaps.mit.edu/index.php/Large_Ultra_Lightweight_Monolithic_Mirrors_for_Space_Missions,"['Large', 'Ultra', 'Lightweight', 'Monolithic', 'Mirrors']"
Superconducting Cable,https://roadmaps.mit.edu/index.php/Superconducting_Cable,"['Superconducting', 'Cable', '-', 'MIT', 'Technology']"
Mobile Nuclear Fission Reactors,https://roadmaps.mit.edu/index.php/Mobile_Nuclear_Fission_Reactors,"['Mobile', 'Nuclear', 'Fission', 'Reactors', '-']"
Building Automation Systems for Energy Management,https://roadmaps.mit.edu/index.php/Building_Automation_Systems_for_Energy_Management,"['Building', 'Automation', 'Systems', 'for', 'Energy']"
Solar-Powered HALE Aircraft,https://roadmaps.mit.edu/index.php/Solar-Powered_HALE_Aircraft,"['Solar-Powered', 'HALE', 'Aircraft', '-', 'MIT']"
Autonomy in the Corn Production System,https://roadmaps.mit.edu/index.php/Autonomy_in_the_Corn_Production_System,"['Autonomy', 'in', 'the', 'Corn', 'Production']"
Blockchain As A Service For Supply Chain,https://roadmaps.mit.edu/index.php/Blockchain_As_A_Service_For_Supply_Chain,"['Blockchain', 'As', 'A', 'Service', 'For']"
Proton Exchange Membrane (PEM) Electrolyzer Plant at Grid Scale,https://roadmaps.mit.edu/index.php/Proton_Exchange_Membrane_(PEM)_Electrolyzer_Plant_at_Grid_Scale#FOM_of_PEM_electrolyzer_plants,"['Proton', 'Exchange', 'Membrane', '(PEM)', 'Electrolyzer']"
Laser Powder Bed Fusion - Metal,https://roadmaps.mit.edu/index.php/Laser_Powder_Bed_Fusion_-_Metal#List_of_R.26D_Projects,"['Laser', 'Powder', 'Bed', 'Fusion', '-']"
Digital Twins in Supply Chain,https://roadmaps.mit.edu/index.php/Digital_Twins_in_Supply_Chain,"['Digital', 'Twins', 'in', 'Supply', 'Chain']"
Detect And Avoid Autonomous Augmentation System,https://roadmaps.mit.edu/index.php/Detect_And_Avoid_Autonomous_Augmentation_System,"['Detect', 'And', 'Avoid', 'Autonomous', 'Augmentation']"
Quantum Computers for AI and ML,https://roadmaps.mit.edu/index.php/Quantum_Computers_for_AI_and_ML,"['Quantum', 'Computers', 'for', 'AI', 'and']"
Autonomous ElectricVTOL Transport Aircraft,https://roadmaps.mit.edu/index.php/Autonomous_ElectricVTOL_Transport_Aircraft,"['Autonomous', 'ElectricVTOL', 'Transport', 'Aircraft', '-']"
Main Page,https://roadmaps.mit.edu/index.php/Main_Page,"['MIT', 'Technology', 'Roadmapping', 'Main', 'Page']"
Introduction to ATRA,https://roadmaps.mit.edu/index.php?title=Introduction_to_ATRA,"['Introduction', 'to', 'ATRA', '-', 'MIT']"
The Book page,https://roadmaps.mit.edu/index.php/The_Book_page,"['The', 'Book', 'page', '-', 'MIT']"
The Courses page,https://roadmaps.mit.edu/index.php/The_Courses_page,"['The', 'Courses', 'page', '-', 'MIT']"
Research,https://roadmaps.mit.edu/index.php/Research,"['Research', '-', 'MIT', 'Technology', 'Roadmapping']"
